Name,School,Difficulty Level,Rating,Link,About
Get Your Startup Started,School of Business,Intermediate,None,https://www.udacity.com//course/get-your-startup-started--ud806,Acquire the know-how necessary to see your business grow towards its next milestone.
Managing Remote Teams with Upwork,School of Business,Beginner,None,https://www.udacity.com//course/managing-remote-teams-with-upwork--ud942,Bring your remote-teams to the next level with hands-on skills to manage your remote workforce effectively.
Intro to Data Science,School of Data Science,Intermediate,None,https://www.udacity.com//course/intro-to-data-science--ud359,"What does a data scientist do? In this course, we will survey the main topics in data science so you can understand the skills that are needed to become a data scientist!"
Intro to Data Analysis,School of Data Science,Beginner,None,https://www.udacity.com//course/intro-to-data-analysis--ud170,"Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib."
SQL for Data Analysis,School of Data Science,Beginner,None,https://www.udacity.com//course/sql-for-data-analysis--ud198,Learn to use Structured Query Language (SQL) to extract and analyze data stored in databases
Database Systems Concepts & Design,School of Autonomous Systems,Intermediate,None,https://www.udacity.com//course/database-systems-concepts-design--ud150,This course presents an example of applying a database application development methodology to a major real-world project.
Intro to Inferential Statistics,School of Data Science,Beginner,None,https://www.udacity.com//course/intro-to-inferential-statistics--ud201,Intro to Inferential Statistics will teach you how to test your hypotheses and begin to make predictions based on statistical results drawn from data!
Spark,School of Data Science,Intermediate,None,https://www.udacity.com//course/learn-spark-at-udacity--ud2002,Master how to work with big data and build machine learning models at scale using Spark!
Data Analysis and Visualization,School of Data Science,Intermediate,None,https://www.udacity.com//course/data-analysis-and-visualization--ud404,"This course will introduce students to the field by covering state�-of-�the-art modeling, analysis and visualization techniques."
Microsoft Power Platform,School of Programming & Development,Beginner,None,https://www.udacity.com//course/microsoft-power-platform--ud091,"Learn to build powerful and effective solutions with ease with Microsoft Power Platform. Created in partnership with the Microsoft Power Platform team, this course will introduce you to efficient low-code solutions for data analytics, app development, and artifical intelligence."
