id,Name,University,level,Link,About
3758,Learn CSS Transition and Animation ,Udemy,intermediate,https://www.udemy.com/css-transition-and-animation/,Web Development
3759,Learn JavaScript from scratch,Udemy,beginner,https://www.udemy.com/learn-javascript-from-scratch/,Web Development
3760,WordPress for Beginners - Tutorial - From Novice to Know-How,Udemy,beginner,https://www.udemy.com/wordpress-for-beginners-tutorial-from-novice-to-know-how/,Web Development
3761,RESTful API with Laravel,Udemy,intermediate,https://www.udemy.com/laravel-5-php-framework-agile-and-practical-php-restful-api/,Web Development
3762,Learn Ruby on Rails for Absolute Beginners,Udemy,intermediate,https://www.udemy.com/learn-ruby-on-rails-for-absolute-beginners/,Web Development
3763,JavaScript Tutorial,Udemy,intermediate,https://www.udemy.com/lets-learn-javascript-by-coding/,Web Development
3764,Shopping Cart Website from Scratch Ecommerce,Udemy,beginner,https://www.udemy.com/shopping-cart/,Web Development
3765,Learn By Example: Angular JS,Udemy,intermediate,https://www.udemy.com/learn-by-example-angular-js/,Web Development
3766,The Complete front end web developer Bootcamp - 14 projects,Udemy,intermediate,https://www.udemy.com/complete-front-end-web-developer-bootcamp/,Web Development
3767,WordPress LMS: E-Learning Website Made Easy,Udemy,intermediate,https://www.udemy.com/wordpress-learning-management-system-create-a-learning-site/,Web Development
3768,Create An HTML5 Video Player From Scratch,Udemy,beginner,https://www.udemy.com/html5-video-player/,Web Development
3769,In Depth Web Development Made Easy,Udemy,intermediate,https://www.udemy.com/in-depth-web-development-from-scratch/,Web Development
3770,Jquery :basics for beginners,Udemy,intermediate,https://www.udemy.com/jquery-basics-for-beginners/,Web Development
3771,Web Development By Doing: HTML / CSS From Scratch,Udemy,beginner,https://www.udemy.com/web-development-learn-by-doing-html5-css3-from-scratch-introductory/,Web Development
3772,Build Your First Website in 1 Week with HTML5 and CSS3,Udemy,beginner,https://www.udemy.com/build-your-first-website-in-1-week/,Web Development
3773,"ASP.NET Core MVC, Quick and Practical",Udemy,intermediate,https://www.udemy.com/aspnet-core-mvc-quick-and-practical/,Web Development
3774,Better way towards CSS using Less and Sass,Udemy,intermediate,https://www.udemy.com/better-way-towards-css-using-less-and-sass/,Web Development
3775,JavaScript Complete for beginners with real world Apps,Udemy,intermediate,https://www.udemy.com/javascript-complete-and-comprehensive/,Web Development
3776,Creating a Responsive HTML Email,Udemy,intermediate,https://www.udemy.com/creating-responsive-html-email/,Web Development
3777,Angular 2 Demystified,Udemy,intermediate,https://www.udemy.com/introduction-to-angular2/,Web Development
3778,Learn HTML Fast and Easy!,Udemy,beginner,https://www.udemy.com/learn-to-code-html/,Web Development
3779,How To Setup a Micro-Blog in 3 Easy Steps,Udemy,intermediate,https://www.udemy.com/setup-your-own-micro-blog-in-3-easy-steps/,Web Development
3780,Ruby on Rails for Complete Beginners,Udemy,beginner,https://www.udemy.com/ruby-on-rails-tutorial-for-complete-beginners/,Web Development
3781,Wordpress for Non-Technical People,Udemy,beginner,https://www.udemy.com/wordpress-for-non-technical-people/,Web Development
3782,ASP NET CORE - ANGULAR 2 E-Commerce App,Udemy,intermediate,https://www.udemy.com/build-a-full-e-commerce-app-in-aspnet-core-mvc-6/,Web Development
3783,Introductory JavaScript Made Easy Training Tutorial,Udemy,beginner,https://www.udemy.com/introductory-javascript-made-easy-training-tutorial/,Web Development
3784,Become a Heroku Rails Ninja: Expert Level Deployment Tools,Udemy,intermediate,https://www.udemy.com/become-a-heroku-rails-ninja/,Web Development
3785,Complete RESPONSIVE Website Design with HTML5 & CSS3,Udemy,beginner,https://www.udemy.com/website_design/,Web Development
3786,Pimcore Developer: Implement a Blog from a Bootstrap Theme,Udemy,intermediate,https://www.udemy.com/enterprise-cms-applied-implement-a-website-with-pimcore/,Web Development
3787,Inspirational Web Development - A Beginner Approach -,Udemy,beginner,https://www.udemy.com/inspirational-web-development-level-0/,Web Development
3788,"Learn HTML, A practical guide from scratch to HTML 5",Udemy,intermediate,https://www.udemy.com/learn-html-a-practical-guide-from-scratch-to-html-5/,Web Development
3789,JavaScript Tutorial: Learn JavaScript Code for Beginners,Udemy,beginner,https://www.udemy.com/javascript-tutorial-for-beginners/,Web Development
3790,Website Secrets: Get a Gorgeous Website on the Cheap,Udemy,intermediate,https://www.udemy.com/how-to-get-an-excellent-website-at-a-lower-cost/,Web Development
3791,Ultimate WordPress Plugin Course,Udemy,intermediate,https://www.udemy.com/wordpress-plugin-course/,Web Development
3792,PHP for Beginners: How to Build an E-Commerce Store,Udemy,intermediate,https://www.udemy.com/php-for-beginners-how-to-build-an-ecommerce-store/,Web Development
3793,"Build Realtime Apps | React Js, Golang & RethinkDB",Udemy,intermediate,https://www.udemy.com/realtime-apps-with-reactjs-golang-rethinkdb/,Web Development
3794,"Master Electron: Desktop Apps using HTML, JavaScript & CSS",Udemy,intermediate,https://www.udemy.com/master-electron/,Web Development
3795,The Complete Web Developer Masterclass: Beginner To Advanced,Udemy,intermediate,https://www.udemy.com/webdevelopercourse/,Web Development
3796,Mastering Micro Services Using Java Spring Boot,Udemy,intermediate,https://www.udemy.com/mastering-micro-services-using-java-sprint-boot/,Web Development
3797,How to Create A Website: An HTML Tutorial and CSS Tutorial,Udemy,intermediate,https://www.udemy.com/html-tutorial/,Web Development
3798,The Advanced Web Developer Course,Udemy,intermediate,https://www.udemy.com/the-advanced-web-developer-course/,Web Development
3799,Projects in MongoDB - Learn MongoDB Building Projects,Udemy,intermediate,https://www.udemy.com/projects-in-mongodb/,Web Development
3800,Learning JavaScript Programming Tutorial. A Definitive Guide,Udemy,intermediate,https://www.udemy.com/programming-javascript/,Web Development
3801,"The Complete JavaScript, HTML and CSS Tutorial For Beginners",Udemy,beginner,https://www.udemy.com/the-complete-javascript-html-and-css-tutorial-for-beginners/,Web Development
3802,"Build Modern Responsive Website With HTML5, CSS3 & Bootstrap",Udemy,intermediate,https://www.udemy.com/build-modern-responsive-website-with-html5-css3-bootstrap/,Web Development
3803,The Complete JavaScript Course For Web Development Beginners,Udemy,intermediate,https://www.udemy.com/javascriptcourse/,Web Development
3804,Email Marketing: Send Unlimited Emails via Own Mail Server,Udemy,beginner,https://www.udemy.com/email-marketing-send-unlimited-emails-via-own-mail-server/,Web Development
3805,Getting started with JavaScript,Udemy,beginner,https://www.udemy.com/javascript-code/,Web Development
3806,Learn the basics of the Web development: Coding Tactics,Udemy,beginner,https://www.udemy.com/learn-the-basics-of-the-web-development-in-2-hours/,Web Development
3807,RESTful API with Laravel 5.4: Definitive Guide,Udemy,intermediate,https://www.udemy.com/restful-api-with-laravel-php-homestead-passport-hateoas/,Web Development
3808,Learn AngularJS Step By Step,Udemy,intermediate,https://www.udemy.com/maruti-angularjs/,Web Development
3809,Learn React : The World's Most Lucrative JavaScript Library,Udemy,beginner,https://www.udemy.com/learn-react-the-worlds-most-lucrative-javascript-library/,Web Development
3810,Master Regular Expressions from scratch - All languages,Udemy,intermediate,https://www.udemy.com/master-regular-expressions-from-scratch/,Web Development
3811,Try AngularJS: Beginner's Guide to Front End Web Development,Udemy,beginner,https://www.udemy.com/try-angularjs/,Web Development
3812,JavaScript Step by Step how to apply it to your web pages,Udemy,intermediate,https://www.udemy.com/javascript-fundamentals-bootcamp-learn-how-to-use-javascript/,Web Development
3813,Explore JavaScript Beginners Guide to Coding JavaScript,Udemy,beginner,https://www.udemy.com/javascript-beginners-course/,Web Development
3814,Learn Web Scraping with Node.js,Udemy,intermediate,https://www.udemy.com/web-scraping-nodejs/,Web Development
